nombre,continente,altura,anio,visitas,calificacion
Iglesias excavadas de Wukro,África,12,1000,0.20,Malo
Mezquita de Larabanga,África,11,1000,0.15,Bueno
Tumbas de Asuán,África,20,1000,0.40,Regular
Ruinas de Aoudaghost (Mauritania),África,9,1050,0.05,Malo
Mezquita de Tlemcen (Gran Mezquita),África,18,1082,0.60,Regular
Gran Zimbabwe,África,11,1100,0.03,Malo
Iglesia de Bet Medhane Alem,África,33,1100,0.70,Malo
Iglesia de San Jorge (Lalibela),África,30,1200,3.00,Excelente
Iglesias de Lalibela,África,12,1200,0.04,Malo
Mezquita de Kairuán,África,31,1293,2.10,Bueno
Mezquita de Djingareyber,África,13,1327,0.05,Malo
Mezquita de Sankore,África,12,1400,0.04,Malo
Universidad de Al Qarawiyyin,África,33,1450,3.20,Excelente
Castillo de Ife,África,29,1480,1.40,Regular
Iglesia de Debre Sina,África,22,1500,0.40,Malo
Fuerte de São Sebastião,África,27,1506,0.40,Malo
Fortaleza de Mazagan,África,36,1514,0.70,Malo
Mezquita de Agadez,África,27,1515,0.03,Malo
Fortaleza de Massawa,África,30,1557,0.35,Malo
Iglesia de Nuestra Señora María de Sion,África,28,1600,0.40,Malo
Mezquita Zitouna,África,33,1600,2.10,Bueno
Iglesia de San Francisco de Luanda,África,24,1628,0.30,Malo
Castillo de San Jorge da Mina,África,33,1637,0.10,Malo
Fortaleza de Fasil Ghebbi,África,30,1640,0.60,Malo
Fuerte de Bahir Dar,África,22,1650,1.40,Bueno
Fuerte James,África,18,1651,0.30,Malo
Castillo de Good Hope,África,25,1666,0.50,Malo
Iglesia de Debre Berhan Selassie,África,18,1694,0.22,Malo
Fuerte de Cape Coast,África,20,1726,0.11,Malo
Fuerte de Lamu,África,20,1813,0.18,Malo
Palacio Real de Rabat,África,52,1864,3.10,Bueno
Palacio de los Sultanes de Zanzíbar,África,35,1883,1.90,Bueno
Palacio de Abomey,África,15,1885,0.05,Malo
Gran Mezquita de Touba,África,65,1887,1.20,Regular
Catedral de San Luis de Túnez,África,41,1890,1.60,Regular
Gran Mezquita de Bobo-Dioulasso,África,26,1893,0.80,Malo
Catedral de St. George,África,40,1897,0.60,Regular
Museo Egipcio de El Cairo,África,55,1902,5.50,Excelente
Gran Mezquita de Djenné,África,20,1907,0.30,Malo
Catedral de Santa Ana de Djibouti,África,25,1912,1.10,Bueno
Iglesia de Santa Ana de Djibouti,África,25,1912,1.10,Bueno
Estación de tren de Maputo,África,40,1916,2.00,Bueno
Palacio Real de Foumban,África,32,1917,0.25,Malo
Catedral de San Pedro y San Pablo de Lubumbashi,África,50,1920,0.90,Malo
Museo de Historia de Ghana,África,24,1956,0.65,Regular
Museo Nacional de Nigeria,África,26,1957,0.70,Regular
Museo Nacional de Etiopía,África,38,1958,2.00,Bueno
Monumento a Samori Touré,África,29,1963,0.40,Malo
Museo Nacional de Sudán,África,43,1971,2.50,Bueno
Museo de Arte Africano de Lagos,África,30,1973,3.70,Bueno
Auditorio Nacional de Dakar,África,42,1981,2.50,Bueno
Monumento a la Unidad Africana,África,50,1982,1.20,Regular
Mezquita Hassan II,África,210,1993,0.60,Malo
Museo Nubio de Asuán,África,48,1997,1.10,Regular
Templo de Kukulkán (Chichén Itzá),América,30,1050,2.60,Bueno
Mitla,América,9,1100,0.18,Malo
Templo del Sol de Tiwanaku,América,42,1100,2.30,Bueno
Huaca del Sol y la Luna,América,21,1200,0.05,Malo
Cusco,América,3399,1300,1.50,Regular
Templo del Sol (Cuzco),América,28,1400,2.20,Bueno
Machu Pichu,América,2430,1450,1.50,Regular
Iglesia de San Francisco (Quito),América,27,1534,0.90,Malo
